pathway	external_id	source	hgnc_symbol_ids
Focal adhesion - Homo sapiens (human)	path:hsa04510	KEGG	COL11A1,COL11A2,TLN2,MYL7,AKT2,MYL5,MYL2,RAPGEF1,CAV2,CAV3,ZYX,MYL9,CRKL,PIK3CA,PIK3CB,PIK3CD,PIK3R5,PIK3CG,RELN,ERBB2,IGF1R,DIAPH1,SHC2,SHC3,RAP1B,MYL12B,SOS1,FN1,AKT1,CCND1,CCND3,CCND2,MYLK,GSK3B,PTEN,AKT3,PAK4,ACTB,PAK7,PAK1,PAK2,PAK3,ITGA8,ITGA9,ITGA1,ITGA2,DOCK1,ITGA4,PDGFB,ITGA6,ITGA7,ITGA10,ITGA11,BCL2,LAMB1,CRK,LAMB3,LAMB2,IBSP,LAMB4,RAC3,ELK1,COL2A1,THBS4,RAC1,JUN,THBS3,THBS1,COL27A1,GRB2,PIK3R3,PIK3R2,PIK3R1,COL1A2,CAV1,FIGF,IGF1,MYL10,COL4A6,COL4A5,COL4A4,VEGFA,COL4A2,VEGFC,VEGFB,LAMC2,LAMC3,RHOA,LAMC1,BCAR1,PAK6,COL4A3,VAV1,VAV3,VAV2,ITGAV,FLNA,VWF,FLNC,PDGFD,PDGFRB,PDGFRA,COL4A1,CHAD,ILK,RAP1A,RAC2,XIAP,MAPK10,BIRC3,TNR,SOS2,ARHGAP5,FLT4,RAF1,FLT1,THBS2,ITGA2B,MAPK3,MAPK1,PPP1R12A,PPP1R12B,PPP1R12C,PARVB,MAPK8,PARVA,EGF,PARVG,KDR,CAPN2,LAMA1,LAMA2,ITGA3,LAMA4,LAMA5,ACTG1,COMP,MYLK4,MYLK2,MYLK3,ITGA5,COL5A2,COL5A3,COL5A1,PPP1CB,MAPK9,RASGRF1,MYL12A,PIP5K1C,PPP1CA,MAP2K1,TNN,MET,SPP1,COL1A1,CDC42,SHC4,PTK2,SRC,EGFR,BIRC2,CTNNB1,BAD,LAMA3,MYLPF,COL3A1,SHC1,PGF,FYN,TLN1,PXN,ARHGAP35,ITGB1,PDGFA,ITGB3,PDGFC,ITGB5,ITGB4,ITGB7,ITGB6,PRKCA,ITGB8,PRKCB,VCL,PRKCG,TNC,HGF,COL24A1,VASP,VTN,FLNB,ACTN3,ACTN2,ACTN1,TNXB,HRAS,PPP1CC,ACTN4,ROCK1,ROCK2,BRAF,COL6A1,PDPK1,COL6A3,COL6A2,COL6A5,COL6A6
Protein export - Homo sapiens (human)	path:hsa03060	KEGG	SPCS1,HSPA5,SPCS3,OXA1L,SEC62,SEC63,IMMP2L,SRP54,SRPRB,SPCS2,SRP14,SRP19,SRP72,SRP9,IMMP1L,SEC61G,SEC61B,SEC11A,SEC11C,SRPR,SRP68,SEC61A1,SEC61A2
Pyruvate metabolism - Homo sapiens (human)	path:hsa00620	KEGG	PCK2,GRHPR,PCK1,ME3,ALDH3A2,LDHAL6B,LDHAL6A,ME1,MDH2,MDH1,ME2,FH,PKLR,ACAT1,HAGH,DLD,PC,ACAT2,LDHD,GLO1,PDHB,LDHA,LDHB,PKM,PDHA2,PDHA1,ACACA,ACACB,ACSS2,ACSS1,HAGHL,DLAT,ALDH9A1,ALDH7A1,ALDH1B1,ACOT12,ACYP1,ACYP2,ALDH2,LDHC
mTOR signaling pathway - Homo sapiens (human)	path:hsa04150	KEGG	RRAGD,RPS6KB1,CAB39,PRKAA2,HIF1A,IKBKB,RPS6,AKT2,AKT3,EIF4E2,RRAGA,RPS6KB2,TSC2,ULK1,TSC1,RPTOR,RICTOR,PIK3CA,PIK3CB,PIK3CD,PIK3CG,MAPK3,PIK3R5,MAPK1,PIK3R3,PIK3R2,PIK3R1,ULK2,ULK3,STK11,DDIT4,RRAGC,RRAGB,PRKCA,PRKCB,PRKCG,AKT1S1,TNF,MTOR,PRKAA1,EIF4E,MLST8,EIF4B,CAB39L,RPS6KA1,RPS6KA2,RPS6KA3,VEGFA,RPS6KA6,AKT1,IRS1,INS,PTEN,EIF4EBP1,BRAF,IGF1,EIF4E1B,PDPK1,RHEB,STRADA
PI3K-Akt signaling pathway - Homo sapiens (human)	path:hsa04151	KEGG	THBS2,STK11,IFNAR2,IFNAR1,PIK3CA,PIK3CB,PIK3CD,PIK3R5,PIK3CG,IFNA13,PIK3R3,IFNA10,IFNA17,IFNA16,IFNA14,IGF1R,PPP2R2D,PPP2R2A,PPP2R2C,PPP2R2B,CSF3R,VEGFA,CCND1,CCND3,CCND2,PTEN,ITGA8,ITGA9,CDKN1B,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,COL3A1,MTCP1,JAK2,JAK3,JAK1,IL2,CHUK,COL4A6,COL4A5,COL4A4,COL4A3,COL4A2,VEGFC,VEGFB,ITGAV,INS,VWF,CD19,COL2A1,PIK3AP1,TSC1,CDC37,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,RXRA,IL3RA,IL2RA,IL2RB,IL2RG,INSR,IFNA21,SPP1,EGFR,BAD,NGFR,PGF,ITGB1,RPTOR,ITGB3,NOS3,ITGB5,ITGB4,ITGB7,ITGB6,ITGB8,HGF,TCL1B,TCL1A,EIF4E2,PCK2,PCK1,COL11A1,GHR,PPP2R3B,PPP2R3C,PPP2R3A,IKBKB,IKBKG,EGF,PRL,GNG10,GNG11,GNG12,GNG13,RELN,RELA,KITLG,GH1,FN1,CSF1,CSF3,GNG7,GNG4,GNG5,GNG2,GNG3,GNG8,NGF,LAMB1,LAMB3,LAMB2,IBSP,LAMB4,CCNE2,CCNE1,ANGPT2,ANGPT1,ANGPT4,FIGF,IGF1,EIF4E,EIF4B,EPOR,PDGFRB,PDGFRA,CHAD,RPS6KB1,FLT4,FLT1,ITGA2B,CSF1R,RPS6KB2,FGF18,ITGA1,CDKN1A,GNB5,GNB4,GNB1,GNB3,VTN,COL5A2,COL5A3,COL5A1,MTOR,HSP90B1,NFKB1,IRS1,C8orf44-SGK3,CDK2,CRTC2,CDK4,CDK6,EIF4E1B,LPAR2,LPAR3,LPAR1,LPAR6,LPAR4,LPAR5,PTK2,PRKAA2,PRKAA1,MCL1,CASP9,YWHAZ,IL6R,YWHAQ,YWHAH,YWHAB,YWHAG,YWHAE,RAC1,PRKCA,NR4A1,CHRM2,CHRM1,PRKCZ,COL24A1,GNB2,COL6A3,COL6A2,FGFR4,BCL2,MLST8,COL11A2,BRCA1,CREB5,CREB3,CREB1,MDM2,FGFR2,FGFR3,FGFR1,EPO,SYK,KIT,F2R,HRAS,ITGA10,ITGA11,THEM4,PRLR,LAMC2,LAMC3,LAMC1,TP53,EIF4EBP1,PPP2R5D,PPP2R5E,FGF22,PPP2R5A,FGF20,PPP2R5C,COL4A1,RPS6,RAF1,IFNB1,KDR,COMP,EFNA5,EFNA4,EFNA3,EFNA2,EFNA1,SGK3,SGK2,SGK1,IL6,IL7,IL4,COL1A2,IL3,COL1A1,RHEB,PPP2R1A,PPP2R1B,FOXO3,MAP2K2,MAP2K1,PKN1,PKN3,PKN2,CSH2,CSH1,FGF23,PPP2R5B,COL6A1,ATF6B,FGF21,COL6A5,COL6A6,BCL2L1,AKT1,AKT2,AKT3,HSP90AB1,MYC,MYB,DDIT4,FASLG,KRAS,GH2,PPP2CA,PPP2CB,GSK3B,TLR2,GRB2,TLR4,G6PC3,G6PC2,TSC2,THBS4,TNXB,THBS3,THBS1,COL27A1,OSM,PIK3R2,PIK3R1,IL4R,GYS1,GYS2,FGF9,FGF8,FGF7,FGF6,FGF5,FGF4,FGF3,FGF2,FGF1,IL7R,G6PC,EPHA2,TEK,MAPK3,FGF19,MAPK1,FGF13,FGF12,FGF11,FGF10,FGF17,FGF16,FGF14,RBL2,PHLPP2,PHLPP1,IFNA8,SOS2,SOS1,IFNA2,IFNA1,IFNA7,IFNA6,IFNA5,IFNA4,MET,HSP90AA1,BCL2L11,NRAS,OSMR,PDGFA,PDGFB,PDGFC,PDGFD,GNGT1,TNR,TNC,ATF4,TNN,CREB3L2,CREB3L3,CREB3L1,GNGT2,CREB3L4,PDPK1,ATF2
Regulation of lipolysis in adipocytes - Homo sapiens (human)	path:hsa04923	KEGG	PTGS2,PTGS1,NPR1,ADORA1,TSHB,MGLL,IRS1,AKT1,INSR,AKT3,TSHR,PIK3CG,GNAI2,GNAI3,GNAI1,NPY,PRKX,CGA,PIK3CA,PIK3CB,PIK3CD,PRKACG,PDE3B,PNPLA2,PIK3R5,PIK3R3,PIK3R2,PIK3R1,PRKG2,PRKG1,PLIN1,AQP7,LIPE,PTGER3,ADCY6,ADCY9,ABHD5,ADCY4,ADCY5,PLA2G16,ADCY7,ADCY1,ADCY2,ADCY3,IRS4,NPY1R,ADCY8,AKT2,IRS2,INS,ADRB1,ADRB2,ADRB3,PRKACA,PRKACB,FABP4,GNAS
Retinol metabolism - Homo sapiens (human)	path:hsa00830	KEGG	AOX1,RETSAT,AWAT2,RPE65,UGT2A3,UGT2A2,UGT2A1,DHRS4L1,CYP2S1,UGT1A8,UGT1A9,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A1,ALDH1A2,UGT1A3,RDH8,DHRS9,DGAT1,DHRS4,RDH5,CYP2B6,DHRS3,ALDH1A1,CYP26B1,UGT2B15,UGT2B17,UGT2B10,UGT2B11,PNPLA4,LRAT,HSD17B6,RDH11,ADH1C,UGT2B7,UGT2B4,RDH12,CYP1A1,BCO1,CYP2A6,ADH1B,UGT1A10,CYP3A7,CYP3A4,CYP3A5,CYP3A7-CYP3A51P,CYP2C9,CYP2C8,CYP1A2,ADH7,ADH6,ADH5,ADH4,SDR16C5,ADH1A,RDH16,RDH10,CYP2C18,DHRS4L2,UGT2B28,CYP26C1,CYP4A11,CYP26A1
Oxytocin signaling pathway - Homo sapiens (human)	path:hsa04921	KEGG	CD38,PTGS2,ACTG1,PPP3R1,PRKAG1,PRKAG3,PRKAG2,MYL6,PPP3R2,MYL9,EEF2K,CALM2,CALM3,CALM1,RYR1,PIK3CA,RYR3,RYR2,PIK3CD,CAMK4,CACNA1F,PIK3CG,CACNA1S,NPR1,NPR2,CAMK2D,CAMK2G,CAMK2A,CAMK2B,CACNA2D2,CACNA2D3,CACNA2D1,CACNA2D4,KRAS,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,CCND1,ADCY8,ADCY9,ELK1,GUCY1B3,ACTB,NFATC1,NFATC2,NFATC3,NFATC4,GNAO1,CDKN1A,MYLK,GUCY1A3,PRKAB2,RAF1,PRKAB1,JUN,PIK3R5,GUCY1A2,PIK3R3,PIK3R2,PIK3R1,CAMK1,TRPM2,PLCB1,PLCB2,PLCB3,PLCB4,FOS,OXT,PRKACB,ITPR2,ITPR3,RHOA,ITPR1,GNAQ,GNAS,CALML3,CALML6,CALML5,MEF2C,CAMKK2,CAMKK1,PIK3CB,CACNA1C,RCAN1,CACNA1D,GNAI2,GNAI3,GNAI1,CACNB3,CACNB2,CACNB1,CACNB4,MAPK3,MAPK1,PPP1R12A,PPP1R12B,PPP1R12C,HRAS,MAPK7,SRC,MYLK4,MYLK2,MYLK3,KCNJ3,KCNJ2,KCNJ6,KCNJ5,KCNJ4,KCNJ9,JMJD7-PLA2G4B,PRKACG,PRKACA,OXTR,MYL6B,CAMK1D,CAMK1G,EGFR,PRKAA2,PRKAA1,MAP2K2,MAP2K1,MAP2K5,PRKX,PPP3CB,NRAS,RGS2,KCNJ12,NOS3,KCNJ14,PRKCA,PRKCB,PRKCG,PPP3CA,PLA2G4C,PLA2G4B,PLA2G4A,PLA2G4F,PLA2G4E,PLA2G4D,PPP3CC,PPP1CB,PPP1CC,PPP1CA,ROCK1,ROCK2,CACNG8,EEF2,CACNG1,CACNG2,CACNG3,CACNG4,CACNG5,CACNG6,CACNG7
Adipocytokine signaling pathway - Homo sapiens (human)	path:hsa04920	KEGG	PCK2,PCK1,PRKAA1,PRKAG1,G6PC,PRKAG3,STK11,CPT1C,G6PC3,NFKBIE,IKBKB,AKT1,AKT2,AKT3,MAPK10,SLC2A1,ACSBG2,ADIPOQ,ADIPOR2,ADIPOR1,PRKAB1,PPARGC1A,TRADD,NFKBIB,JAK2,NFKB1,MAPK8,MAPK9,CPT1A,TRAF2,NFKBIA,PRKAB2,IRS2,AGRP,ACACB,RXRG,IKBKG,RXRA,RXRB,PRKAA2,PRKAG2,LEPR,TNF,MTOR,CD36,POMC,PRKCQ,STAT3,CPT1B,G6PC2,RELA,SLC2A4,TNFRSF1B,SOCS3,TNFRSF1A,IRS4,ACSL3,PTPN11,ACSL1,ACSL6,IRS1,ACSL4,ACSL5,LEP,CAMKK2,CAMKK1,NPY,CHUK,PPARA,ACSBG1
T cell receptor signaling pathway - Homo sapiens (human)	path:hsa04660	KEGG	PPP3R2,PPP3R1,FYN,IKBKB,AKT1,AKT2,AKT3,IKBKG,DLG1,MAP3K8,PIK3CA,PIK3CB,PIK3CD,MAP3K7,PIK3CG,RELA,CBLC,CBLB,CD28,IFNG,KRAS,MAPK14,CSF2,GSK3B,GRB2,LAT,PAK6,PAK7,CD3D,PAK1,PAK2,PAK3,NFATC1,NFATC2,NFATC3,NFKBIB,HRAS,NFKBIA,NFKBIE,JUN,PIK3R5,GRAP2,PIK3R3,PIK3R2,PIK3R1,CDK4,CTLA4,FOS,CHUK,PAK4,RHOA,PTPN6,VAV1,VAV3,VAV2,CBL,CD3E,CD3G,LCK,CD40LG,CD4,RASGRP1,MAPK11,MAPK12,MAPK13,RAF1,TEC,MAPK3,MAPK1,NFKB1,MAPK9,PDCD1,ICOS,CD8A,CD8B,ITK,SOS1,IL10,MAP2K1,IL4,IL5,IL2,SOS2,CDC42,MAP2K2,PLCG1,CD247,MAP2K7,NRAS,ZAP70,MAP3K14,MALT1,CARD11,TNF,PDPK1,PRKCQ,LCP2,BCL10,NCK1,NCK2,PTPRC,PPP3CA,PPP3CB,PPP3CC
B cell receptor signaling pathway - Homo sapiens (human)	path:hsa04662	KEGG	NFATC1,NFATC2,NFATC3,PPP3R2,PPP3R1,RASGRP3,NFKBIB,PIK3CD,HRAS,NFKBIA,NFKBIE,IKBKB,AKT1,AKT2,AKT3,VAV2,IKBKG,RAF1,PIK3AP1,CD79A,LILRB3,CD72,INPPL1,CD81,PIK3CA,PIK3CB,NRAS,JUN,BCL10,PIK3CG,MAPK3,PIK3R5,MAPK1,PIK3R3,PIK3R2,PIK3R1,NFKB1,RELA,MALT1,BLNK,IFITM1,LYN,RAC2,RAC3,FOS,CD22,CARD11,PRKCB,FCGR2B,CHUK,RAC1,PTPN6,KRAS,CR2,INPP5D,SOS2,SOS1,PLCG2,SYK,VAV3,DAPP1,MAP2K1,GSK3B,MAP2K2,VAV1,GRB2,CD79B,PPP3CA,PPP3CB,PPP3CC,BTK,CD19
